pitchfork_id,artist,album,score,link,release_year
164,Winston C.W.,Good Guess,7.5,/reviews/albums/winston-cw-good-guess/,2020
165,Jahari Massamba Unit,Pardon My French,7.0,/reviews/albums/jahari-massamba-unit-pardon-my-french/,2020
166,Roberta Flack,First Take,9.5,/reviews/albums/roberta-flack-first-take/,2020
167,SAULT,Untitled (Black Is),8.2,/reviews/albums/sault-untitled-black-is/,2020
168,Paul McCartney,McCartney III,7.2,/reviews/albums/paul-mccartney-mccartney-iii/,2020
170,Drive-By Truckers,The New OK,7.3,/reviews/albums/drive-by-truckers-the-new-ok/,2020
171,U2,Zooropa,8.4,/reviews/albums/u2-zooropa/,1993
172,The Postal Service,Everything Will Change,7.8,/reviews/albums/the-postal-service-everything-will-change/,2020
173,Godcaster,Long Haired Locusts,7.4,/reviews/albums/godcaster-long-haired-locusts/,2020
174,Kamaiyah,No Explanations,6.0,/reviews/albums/kamaiyah-no-explanations/,2020
175,Nonlocal Forecast,Holographic Universe(s?)!,7.3,/reviews/albums/nonlocal-forecast-holographic-universes/,2020
176,Belle and Sebastian,What to Look for in Summer,8.0,/reviews/albums/belle-and-sebastian-what-to-look-for-in-summer/,2020
177,YUNGBLUD,Weird!,5.5,/reviews/albums/yungblud-weird/,2020
178,Kid Cudi,Man on the Moon III: The Chosen,4.9,/reviews/albums/kid-cudi-man-on-the-moon-iii-the-chosen/,2020
180,Taylor Swift,evermore,7.9,/reviews/albums/taylor-swift-evermore/,2020
181,Ghostemane,ANTI-ICON,7.4,/reviews/albums/ghostemane-anti-icon/,2020
182,The Avalanches,We Will Always Love You,8.1,/reviews/albums/the-avalanches-we-will-always-love-you/,2020
184,Gil Scott-Heron,Pieces of a Man,9.0,/reviews/albums/gil-scott-heron-pieces-of-a-man/,1971
185,Nilüfer Yanya,Feeling Lucky? EP,7.5,/reviews/albums/nilufer-yanya-feeling-lucky-ep/,2020
186,M. Ward,Think of Spring,7.0,/reviews/albums/m-ward-think-of-spring/,2020
187,Xyla,Ways,7.7,/reviews/albums/xyla-ways/,2020
188,Sinai Vessel,Ground Aswim,7.3,/reviews/albums/sinai-vessel-ground-aswim/,2020
189,Arctic Monkeys,Live at the Royal Albert Hall,7.3,/reviews/albums/arctic-monkeys-live-at-the-royal-albert-hall/,2020
190,Liturgy,Origin of the Alimonies,7.8,/reviews/albums/liturgy-origin-of-the-alimonies/,2020
191,Baby Smoove,Hardwood Classic,5.8,/reviews/albums/baby-smoove-hardwood-classic/,2020
192,Rico Nasty,Nightmare Vacation,7.4,/reviews/albums/rico-nasty-nightmare-vacation/,2020
193,Shawn Mendes,Wonder,5.0,/reviews/albums/shawn-mendes-wonder/,2020
195,Bad Bunny,El Último Tour del Mundo,7.7,/reviews/albums/bad-bunny-el-ultimo-tour-del-mundo/,2020
197,Juicy J,The Hustle Continues,6.8,/reviews/albums/juicy-j-the-hustle-continues/,2020
198,Undeath,Lesions of a Different Kind,8.0,/reviews/albums/undeath-lesions-of-a-different-kind/,2020
200,Dezron Douglas||Brandee Younger,Force Majeure,7.6,/reviews/albums/dezron-douglas-brandee-younger-force-majeure/,2020
201,Jordan Reyes,Sand Like Stardust,7.4,/reviews/albums/jordan-reyes-sand-like-stardust/,2020
202,Lee Paradise,The Fink,7.4,/reviews/albums/lee-paradise-the-fink/,2020
203,The Pharcyde,Bizarre Ride II the Pharcyde,9.3,/reviews/albums/the-pharcyde-bizarre-ride-ii-the-pharcyde/,1992
204,BTS,Be,7.0,/reviews/albums/bts-be/,2020
205,Nils Frahm,Tripping with Nils Frahm,6.7,/reviews/albums/nils-frahm-tripping-with-nils-frahm/,2020
206,Aya Nakamura,AYA,7.6,/reviews/albums/aya-nakamura-aya/,2020
