pitchfork_id,artist_name,popularity,artist_id,followers,genres
14586,Scott Walker,49,04tBaW21jyUfeP5iqiKBVq,99775,art pop|art rock|baroque pop|experimental|folk rock|freak folk|melancholia|post-punk|singer-songwriter
14587,The Avett Brothers,67,196lKsA13K3keVXMDFK66q,865799,indie folk|indie pop|new americana|north carolina indie|north carolina roots|progressive bluegrass|stomp and holler
14588,Brazilian Girls,44,6HdYUuBeK3g2MA2wGVCDcn,46825,downtempo|electronica|trip hop
14590,The Music,41,4IT7CS5foj1DTNHT7fjFx2,45614,britpop
14591,Unicycle Loves You,1,4il9fjs3CCSt8aUzgavdAF,161,
14595,Takka Takka,14,3bArc4MTqfVBLjskaa14p3,1075,brooklyn indie|stomp pop
14598,Philip Jeck,14,17Woab4l0eJybbj5ymknYK,4363,british experimental|drone|hauntology|laboratorio|lowercase|sound art|uk experimental electronic
14599,Steve Reich,51,1aVONoJ0EM97BB26etc1vo,166834,american contemporary classical|avant-garde|classical|compositional ambient|contemporary classical|drone|minimalism
14600,The Faint,44,4A1yfFuBmBOgzv4Oe3fFHk,67043,alternative dance|dance-punk|electroclash|electropowerpop|indietronica|new rave|omaha indie
14602,The Curse Of Company,0,7DQiGsEGbdxskUoaiIQ7gK,28,
14603,Joan As Police Woman,48,6PBv8t9YTLggA9ZMwpeoqj,63762,art pop|brooklyn indie|chamber pop
14604,Oxford Collapse,15,4mCjgn6cyup92PLUbquFRS,938,brooklyn indie
14606,The Muslims,28,0k4t6CgTa017VoLxokJn8t,5261,black punk
14607,Lau Nau,21,2oXfE2cVZxbX7OGVldazev,3630,experimental psych|finnish experimental|freak folk|free folk|new weird finland
14608,Conor Oberst,57,2Z7gV3uEh1ckIaBzTUCE6R,137468,indie folk|indie pop|indie rock|melancholia|omaha indie|stomp and holler
14611,Slim Twig,8,5Coft8Shp1GXn5v61Zta5C,2008,experimental indie rock
14614,Dredd Foole,2,2KvD54MBsYurSZMpc4F8ez,117,drone psych|free folk
14617,Torche,40,4PxqJghOAEvatt0scJvili,49012,miami metal|post-doom metal|post-hardcore|post-metal|sludge metal|stoner metal|stoner rock
14619,Sybris,4,418qvk4VMxDM000zg0S8EF,313,
14621,The Bug,39,213i4NKah1DX9q0FNiKsuw,34167,bass music|classic dubstep|dub metal|ninja|trip hop
14622,Thalia Zedek Band,8,4Leyi7Yg3GnA8dvKC1zZFu,1072,
14623,Haley Bonar,34,2BjFgj9Vg3IVRSG8ETwp9Q,16390,melancholia|stomp and holler
14624,Wale,78,67nwj3Y5sZQLl72VNUHEYE,3100809,dance pop|gangster rap|hip hop|pop|pop rap|r&b|rap|southern hip hop|trap|urban contemporary
14625,Pas/Cal,8,3amo1JENjpEaqqnnMNFEh4,495,
14627,When Dinosaurs Ruled The Earth,0,46CZK4Up9K6HI663atFxCJ,90,austindie|noise punk
14628,The Fratellis,65,3M4ThdJR28z9eSMcQHAZ5G,665574,garage rock|modern alternative rock|modern rock|rock|scottish rock
14629,The Dutchess & The Duke,27,0Pqt0UDLpfUPo0zw6zezeF,4771,stomp and holler
14631,Keak Da Sneak,52,1sPpJhevOYz54gNgeh2LaV,96147,cali rap|hyphy|oakland hip hop|west coast rap|west coast trap
14632,Pas Chic Chic,0,5dRty8P59sgCqKh1BFD3zz,140,canadian experimental
14633,Dr. Dog,66,4mLJ3XfOM5FPjSAWdQ2Jk7,365853,alternative rock|indie folk|indie pop|indie rock|modern folk rock|modern rock|philly indie|shimmer pop|stomp and holler
14635,CSS,48,2K13AVg3bFpHSxDM1vJ0qA,132499,alternative dance|dance-punk|electroclash|electronica|new rave
